,timesteps,full_model,number_of_lymphnodes_positive_by_he_clinical,breast_carcinoma_surgical_procedure_name_Modified.Radical.Mastectomy_clinical,breast_carcinoma_progesterone_receptor_status_Positive_clinical,breast_carcinoma_estrogen_receptor_status_Positive_clinical
0,2.0,1.0,0.0,0.0,0.0,0.0
1,10.0,1.0,0.0,0.0,0.0,0.0
2,16.0,1.0,0.0,0.0,0.0,0.0
3,29.0,1.0,0.0,0.0,0.0,0.0
4,47.0,1.0,0.0,0.0,0.0,0.0
5,64.0,1.0,0.0,0.0,0.0,0.0
6,81.0,1.0,0.0,0.0,0.0,0.0
7,107.0,1.0,0.0,0.0,0.0,0.0
8,125.0,1.0,0.0,0.0,0.0,0.0
9,146.0,1.0,0.0,0.0,0.0,0.0
10,168.0,0.9963789817419146,2.7414513700291416e-07,9.940228176820309e-08,3.1672119006303357e-08,3.320765176808312e-08
11,177.0,0.9945824969699153,3.365604328519198e-07,2.3390565474026886e-07,1.18102427763413e-07,7.39304818498766e-08
12,191.0,0.9945824969699153,3.365604328519198e-07,2.3390565474026886e-07,1.18102427763413e-07,7.39304818498766e-08
13,210.0,0.9945824969699153,3.365604328519198e-07,2.3390565474026886e-07,1.18102427763413e-07,7.39304818498766e-08
14,223.0,0.9945824969699153,3.365604328519198e-07,2.3390565474026886e-07,1.18102427763413e-07,7.39304818498766e-08
15,239.0,0.9926622694643259,3.454131932207234e-07,2.5673932208090884e-07,5.532630160115599e-07,2.0342719699858592e-07
16,257.0,0.9906569846921292,4.1600425486631337e-07,2.636409966088463e-07,2.7237239004709285e-06,4.683563766648522e-07
17,268.0,0.9883646799133284,5.728028449780587e-07,4.042983748468944e-07,4.369413068819952e-06,7.941264858615623e-07
18,292.0,0.9883646799133284,5.728028449780587e-07,4.042983748468944e-07,4.369413068819952e-06,7.941264858615623e-07
19,319.0,0.9854177330711269,6.508198927277953e-07,3.729107359547198e-07,4.399527680743208e-06,8.171091909838071e-07
20,346.0,0.9832982404793865,1.2085972278361722e-06,1.920140496104074e-06,4.229666459763742e-06,8.196350876258223e-07
21,373.0,0.9807142270014509,1.7318861657525722e-06,2.6423619722469385e-06,4.226593794527635e-06,7.910815224495879e-07
22,413.0,0.9807142270014509,1.7318861657525722e-06,2.6423619722469385e-06,4.226593794527635e-06,7.910815224495879e-07
23,461.0,0.9807142270014509,1.7318861657525722e-06,2.6423619722469385e-06,4.226593794527635e-06,7.910815224495879e-07
24,498.0,0.9807142270014509,1.7318861657525722e-06,2.6423619722469385e-06,4.226593794527635e-06,7.910815224495879e-07
25,543.0,0.9753002564884339,3.2279900590511132e-06,4.326404405177871e-06,4.785418213489828e-06,2.223007405236418e-06
26,578.0,0.9637804033841971,4.729196906573138e-06,5.90104917733853e-06,1.389637588845081e-05,5.885871679409301e-06
27,622.0,0.9607948725657468,4.830967359369613e-06,7.022801186460395e-06,2.409982606052755e-05,9.58375662882799e-06
28,688.0,0.957935909473895,5.583768680995686e-06,7.95467918586449e-06,3.760002910060554e-05,1.0755408323387717e-05
29,748.0,0.9548294014667675,5.883590776250522e-06,9.053574632076874e-06,4.657540525076142e-05,9.80189792592678e-06
30,797.0,0.9477160255978746,6.7043720071579584e-06,1.2780547381535235e-05,4.1930402653402794e-05,9.568728772532165e-06
31,854.0,0.9410011635281191,8.919794446945545e-06,1.2507245269178176e-05,3.9022273659737686e-05,9.948333513726165e-06
32,921.0,0.9301417008154266,1.2030290638326414e-05,1.663262626021882e-05,3.9274504641402664e-05,1.3794898401505442e-05
33,987.0,0.92312372084947,1.3444150458067873e-05,1.7200558917398828e-05,3.490783979424242e-05,1.3050548660320066e-05
34,1120.0,0.910925830816012,1.9412356904317562e-05,2.0191011770377774e-05,6.723179918289298e-05,1.651264448579606e-05
35,1170.0,0.9059983318018544,2.150465655308943e-05,2.3200515148840772e-05,6.716734883212954e-05,1.7763934080637724e-05
36,1217.0,0.9059983318018544,2.150465655308943e-05,2.3200515148840772e-05,6.716734883212954e-05,1.7763934080637724e-05
37,1305.0,0.900574760968891,3.160336154656168e-05,2.6229553794210192e-05,6.753869535779973e-05,1.8387613859644498e-05
38,1365.0,0.8945746008175361,3.462936304864076e-05,2.607636034245941e-05,7.002500419368536e-05,1.77275144201993e-05
39,1467.0,0.8900977159555352,3.62669983501932e-05,3.283398548084707e-05,0.0001145934782892227,1.8290234369877973e-05
40,1548.0,0.8832059926347124,4.061364986260606e-05,3.181234499483926e-05,0.00011497120881444118,2.0817767629443253e-05
41,1628.0,0.8688930799663866,4.23550652113693e-05,3.108530577257748e-05,8.943886260881751e-05,2.567422242919057e-05
42,1730.0,0.8274327106368633,9.260286072033935e-05,3.8801072679583506e-05,9.368447373628374e-05,3.770746703870014e-05
43,1883.0,0.8200854303871621,9.374299208750031e-05,3.801355925760157e-05,9.309215055074808e-05,3.8869811832951596e-05
44,1993.0,0.7974203487591254,0.00011623487063882397,4.776085054410625e-05,0.0001315753315348683,5.973432228846455e-05
45,2273.0,0.7499451964397228,0.0001550166448679909,6.289203383342514e-05,0.00013556666847550726,6.709213747763881e-05
46,2495.0,0.7103991403393887,0.0002046342494251653,9.884970709959633e-05,0.00013128069451649624,7.617734723629358e-05
47,2800.0,0.6658563185405675,0.00024245988763117984,9.88687324176181e-05,0.00013665082392366293,8.171466342728046e-05
48,3330.0,0.6191945487150303,0.0002904868277976098,9.489604036204225e-05,0.00016082392912228526,0.00012049156866010193
49,3959.0,0.49894669727511487,0.0003808141498426503,0.00010448650964337595,0.00013308086465907014,0.00012015961163054096
