,timesteps,full_model,tobacco_smoking_history_clinical,stage_event_clinical_stage_Stage.IV.B.C_clinical,neoplasm_histologic_grade_G2_clinical,alcohol_history_documented_YES_clinical
0,3.0,0.9953507621201817,0.0,3.355947531830044e-08,1.0258039127161835e-06,5.7513808339906725e-08
1,14.0,0.9911005311193432,0.0,1.0898025182636956e-07,1.3268432148295235e-06,1.2111852988940924e-07
2,32.0,0.9865197530271168,0.0,1.4460112470828684e-07,1.4924885157240646e-06,2.824811696692915e-07
3,51.0,0.9865197530271168,0.0,1.4460112470828684e-07,1.4924885157240646e-06,2.824811696692915e-07
4,64.0,0.9794229684828157,0.0,5.319006150998105e-07,4.2359024169540884e-06,2.733140571027182e-07
5,90.0,0.9629112872951033,0.0,8.310230166374163e-07,1.1466255520083912e-05,7.608364984326965e-07
6,110.0,0.9583103552435882,0.0,8.150282193007915e-07,1.3060080446234664e-05,8.114743601741213e-07
7,126.0,0.9535067111034905,0.0,8.854702035741821e-07,1.5463647671111964e-05,9.758210610140035e-07
8,142.0,0.9458253771034649,0.0,1.5550213800140188e-06,2.1729805084538334e-05,1.0150634282533193e-06
9,153.0,0.9405682740760124,0.0,1.583861359701764e-06,2.5448338193059902e-05,1.7259628864700047e-06
10,160.0,0.9381281315129502,0.0,1.5838613597017635e-06,2.907788107173054e-05,1.6661241134250625e-06
11,179.0,0.9295538595532737,0.0,2.3523118474303772e-06,4.1055926670978103e-05,1.3824973806546871e-06
12,188.0,0.9214880344792756,0.0,3.009144101584515e-06,3.9360435412271e-05,1.3007788787348654e-06
13,201.0,0.9106961591722056,0.0,3.6813663953280323e-06,5.470268941990632e-05,1.790241466298416e-06
14,216.0,0.902163352151613,0.0,4.633956987240458e-06,6.388728201690261e-05,1.8772523404357334e-06
15,225.0,0.8966846523012342,0.0,4.427206780746154e-06,6.510465077240972e-05,1.8692021640819744e-06
16,237.0,0.8966846523012342,0.0,4.427206780746154e-06,6.510465077240972e-05,1.8692021640819744e-06
17,256.0,0.8875366151089563,0.0,3.907599351141266e-06,8.800748413143259e-05,1.8729001483196302e-06
18,279.0,0.8690430336036231,0.0,4.658243802213802e-06,0.0001477426713066814,3.618430920738112e-06
19,307.0,0.859713277078867,0.0,5.21691814967161e-06,0.00016073716539645992,3.533192187737014e-06
20,327.0,0.8506631474655701,0.0,4.301225353411173e-06,0.00016421616993005293,3.729896511857394e-06
21,348.0,0.834424794011727,0.0,4.238423639473196e-06,0.00023055865317242157,6.9538540933734245e-06
22,354.0,0.8236526920700562,0.0,5.187992730967261e-06,0.00025857447118049346,6.599080736726167e-06
23,368.0,0.8170839584704913,0.0,5.10768416496338e-06,0.00027687019001190565,6.703387113531057e-06
24,388.0,0.8030615010494923,0.0,6.510052742395785e-06,0.0003201590156418495,7.196393770702445e-06
25,397.0,0.7895877625647578,0.0,7.66298053648694e-06,0.00025978539998838286,5.91263213822744e-06
26,413.0,0.7795669096993147,0.0,7.67278624055392e-06,0.000267069790070376,6.572923801345846e-06
27,439.0,0.7638994907397126,0.0,8.704055287815043e-06,0.00032447513402835646,6.422964803634152e-06
28,462.0,0.745163341084175,0.0,7.942812609646369e-06,0.00038702585551145653,6.189776370744345e-06
29,484.0,0.7295768056134294,0.0,1.0829551092627411e-05,0.00040479490090216763,6.331778981809034e-06
30,514.0,0.7136067141970085,0.0,9.91931775660985e-06,0.00047248845369568884,6.653434246791582e-06
31,540.0,0.7056451030616414,0.0,1.2075595635113698e-05,0.0004999195498402728,7.024129214544868e-06
32,572.0,0.6860419583287525,0.0,1.1349769382027244e-05,0.0005219316202874852,7.337214418102689e-06
33,605.0,0.6653743232911232,0.0,1.2793845278046723e-05,0.0005477621395171727,7.14401298379661e-06
34,654.0,0.6482578614456008,0.0,1.173050508226272e-05,0.0005790009754626675,6.966266390041529e-06
35,743.0,0.6403719331107407,0.0,1.2734579223057634e-05,0.000581752475501506,8.579052101191317e-06
36,815.0,0.6309094934070861,0.0,1.367534280710807e-05,0.0005891929374092715,8.61166919522333e-06
37,876.0,0.6196883015190964,0.0,1.7013014350966424e-05,0.0005698517443360048,8.863142550430144e-06
38,910.0,0.6141360981176073,0.0,1.768956157701331e-05,0.0005941957122049204,8.861510730516461e-06
39,985.0,0.6027019070750514,0.0,1.7320523561515672e-05,0.0005987936563202058,8.749056436031369e-06
40,1036.0,0.5968176652783002,0.0,1.7320523561515645e-05,0.0005852800751835778,9.516262967226357e-06
41,1081.0,0.575646316320028,0.0,1.6113897104110758e-05,0.000565009027706629,1.1564888543157918e-05
42,1152.0,0.5608920099298439,0.0,1.703656874895481e-05,0.0005890812389290405,1.2273237502626914e-05
43,1266.0,0.5507150172216084,0.0,1.8161485077139813e-05,0.0006648782318445119,1.2989049542875047e-05
44,1444.0,0.53260278434648,0.0,1.845507760942704e-05,0.0007236817997873101,1.4334413227623747e-05
45,1636.0,0.5073498792900897,0.0,1.6324975223822773e-05,0.0006476551276357027,1.3956146119242804e-05
46,1748.0,0.477401886506029,0.0,1.7564261071693967e-05,0.0006614742443459355,1.7870392242638475e-05
47,1972.0,0.43823099079771516,0.0,1.837471939647521e-05,0.0007332697433913817,1.654032563746293e-05
48,2570.0,0.3697396102893538,0.0,2.5753979475959197e-05,0.0008398425692409581,2.1926003781238624e-05
49,3381.0,0.2787243588634638,0.0,1.776235364565739e-05,0.0005716394687307965,1.4245287966843921e-05
