,timesteps,full_model,laterality_Right_clinical,gender_MALE_clinical,histological_type_Oligodendroglioma_clinical,tumor_location_Supratentorial..Temporal.Lobe_clinical
0,2.0,1.0,0.0,0.0,0.0,0.0
1,3.0,1.0,0.0,0.0,0.0,0.0
2,7.0,0.9975145078379275,1.401484219583968e-08,3.1327085090579186e-08,0.0,1.7845248689712325e-08
3,18.0,0.9975145078379275,1.401484219583968e-08,3.1327085090579186e-08,0.0,1.7845248689712325e-08
4,55.0,0.9951347918610064,7.767848097011158e-09,2.1842604797933778e-08,1.026883033503823e-08,1.0233228581486391e-07
5,74.0,0.9951347918610064,7.767848097011158e-09,2.1842604797933778e-08,1.026883033503823e-08,1.0233228581486391e-07
6,90.0,0.9951347918610064,7.767848097011158e-09,2.1842604797933778e-08,1.026883033503823e-08,1.0233228581486391e-07
7,103.0,0.9928914815097533,6.725488836803e-08,4.708854453977344e-08,2.6498728539570354e-08,8.637157632404974e-08
8,113.0,0.9899083940782812,1.3008673769930756e-07,5.1243731290906646e-08,3.818886875731084e-08,1.0957533494814618e-07
9,121.0,0.9899083940782812,1.3008673769930756e-07,5.1243731290906646e-08,3.818886875731084e-08,1.0957533494814618e-07
10,126.0,0.9899083940782812,1.3008673769930756e-07,5.1243731290906646e-08,3.818886875731084e-08,1.0957533494814618e-07
11,143.0,0.9899083940782812,1.3008673769930756e-07,5.1243731290906646e-08,3.818886875731084e-08,1.0957533494814618e-07
12,159.0,0.9899083940782812,1.3008673769930756e-07,5.1243731290906646e-08,3.818886875731084e-08,1.0957533494814618e-07
13,175.0,0.9868010468155864,1.1546162213395513e-07,1.5513184370978823e-07,7.951822274071644e-08,2.4689634408123543e-07
14,189.0,0.9834559285157035,1.1546162213395451e-07,2.902452970894487e-07,1.7402555099551794e-07,2.541756632094184e-07
15,199.0,0.9768918469169373,4.070888669267223e-07,1.4515820371517774e-07,6.761149771775168e-07,1.1064358721699866e-06
16,214.0,0.9737137140294424,3.9802395873308507e-07,1.9072635273172692e-07,7.219562506203845e-07,1.6393940233222142e-06
17,228.0,0.9701990947227497,4.337237498265454e-07,1.57050136708839e-07,7.982175788060114e-07,2.1580595847968836e-06
18,241.0,0.9633678966745954,3.871071471096857e-07,2.696080051334534e-07,1.247495081161829e-06,3.0846399788477182e-06
19,263.0,0.9557883205338418,5.219038742701202e-07,3.3419946033348737e-07,2.0996031294387923e-06,4.683790897081935e-06
20,287.0,0.9521177331901024,6.376768729940659e-07,5.376527680794655e-07,2.4330682545312157e-06,5.482679756099641e-06
21,315.0,0.9483189281895181,6.250774741352148e-07,6.06242298666613e-07,4.036387245049399e-06,6.316619748758986e-06
22,333.0,0.9448526447302905,7.502565506295172e-07,9.916599292650684e-07,4.233086810547815e-06,7.016562998868556e-06
23,361.0,0.933333273450898,6.256741878895867e-07,1.0327367823458784e-06,6.253524826543129e-06,9.190603405134432e-06
24,383.0,0.929030610502562,8.194698502758959e-07,1.0327367823458896e-06,6.247442709846731e-06,9.277427073409812e-06
25,415.0,0.9237964288302692,1.0288733632724831e-06,1.2054181465610705e-06,3.6693105303543842e-06,7.382240148193906e-06
26,443.0,0.9194341341509477,1.2839959872637204e-06,1.4056316836704704e-06,4.615577536358298e-06,8.580256923519336e-06
27,469.0,0.9145091474021495,1.541861065434431e-06,1.64577249512996e-06,4.7969645581540765e-06,8.296600984966953e-06
28,492.0,0.90986524494834,1.2915023616570153e-06,2.412873862364376e-06,5.7041813372446366e-06,8.063200046771034e-06
29,530.0,0.9044811868110212,2.250839216863247e-06,2.071006404096495e-06,6.118671857928048e-06,8.063200046771082e-06
30,554.0,0.8942455987484518,2.3803111507492166e-06,2.2247648680402793e-06,7.615556731484882e-06,8.12823788286526e-06
31,576.0,0.8881221639661774,2.5570013377091067e-06,2.565495971985776e-06,7.5892608843103075e-06,9.177295259999278e-06
32,626.0,0.8703160698142854,2.4440514121542883e-06,4.986830625744992e-06,1.4884945373654109e-05,1.0187565110236184e-05
33,687.0,0.8564742263807767,4.421044523327815e-06,4.982043068706368e-06,2.122134527764292e-05,1.1922345247131484e-05
34,727.0,0.8352034859239342,4.607409320312022e-06,2.248172226996437e-06,3.55788906334145e-05,1.3023645964733677e-05
35,800.0,0.8293030799558178,4.921901700174324e-06,2.359305721095825e-06,3.4981170187778633e-05,1.432621436750569e-05
36,846.0,0.8159347982229159,6.035259089450322e-06,2.2262843651278936e-06,3.609432029439155e-05,1.558970390288825e-05
37,900.0,0.8093071070838623,7.32006019714323e-06,2.226284365127916e-06,3.59796435287169e-05,1.564407436910149e-05
38,933.0,0.7917237335966321,7.300303411415872e-06,3.031323325623156e-06,3.4748788962218283e-05,1.4716820919338491e-05
39,964.0,0.7758214144158556,7.748815985519196e-06,4.497473872509678e-06,3.544533705676414e-05,2.0627756183515867e-05
40,1026.0,0.7488145017160854,8.281345794170524e-06,5.387605707349334e-06,3.600302318219054e-05,2.042004260570293e-05
41,1229.0,0.7402147745600123,1.0754606583552178e-05,5.3876057073493184e-06,3.5907989871328026e-05,2.4962357633307757e-05
42,1335.0,0.7101857629027518,2.8493074190056394e-05,6.328978872077504e-06,3.472745750861196e-05,2.655753011284954e-05
43,1458.0,0.6878371001259185,2.482392106057751e-05,6.091568771226552e-06,3.4605191879388075e-05,2.915307416223916e-05
44,1614.0,0.6513061236192228,4.274835902970185e-05,5.43527444961392e-06,2.926877039991425e-05,4.346281994477965e-05
45,1834.0,0.6348264917933877,4.5233223646066454e-05,6.015992363816792e-06,2.868728790314028e-05,5.5502375830908276e-05
46,2146.0,0.5469043351201976,0.00010837789866863276,9.524522300524002e-06,3.400365730256698e-05,7.78104376792941e-05
47,2369.0,0.4898370104746903,7.962130899187922e-05,9.83443771898961e-06,3.374109314718226e-05,8.846240443087394e-05
48,2761.0,0.43800646950088146,0.00010755997845866337,1.1172961088918256e-05,3.4879413827025235e-05,8.3119137719147e-05
49,3787.0,0.37335835444182036,8.736628034231249e-05,4.510548319306412e-05,3.574752128841635e-05,7.609241110482868e-05
