,timesteps,full_model,tobacco_smoking_history_clinical,stage_event_pathologic_stage_Stage.IB_clinical,stage_event_pathologic_stage_Stage.IIA_clinical,anatomic_neoplasm_subdivision_R.Upper_clinical
0,2.0,0.995503699507647,0.0,6.46284038171633e-08,1.0994678603206874e-07,1.721435752934474e-08
1,4.0,0.995503699507647,0.0,6.46284038171633e-08,1.0994678603206874e-07,1.721435752934474e-08
2,6.0,0.9885062329311382,0.0,1.0252360513570312e-07,2.0574349989146922e-07,1.1382360921089883e-07
3,12.0,0.9836429337257399,0.0,1.8607656954568325e-07,2.450163646704701e-07,2.3074520349166672e-07
4,14.0,0.9836429337257399,0.0,1.8607656954568325e-07,2.450163646704701e-07,2.3074520349166672e-07
5,18.0,0.9810180538414416,0.0,2.0255994786210214e-07,2.414083635114356e-07,2.187879193570525e-07
6,24.0,0.9783630817772966,0.0,2.0941965695333495e-07,2.3825836881972815e-07,2.187879193570487e-07
7,28.0,0.9783630817772966,0.0,2.0941965695333495e-07,2.3825836881972815e-07,2.187879193570487e-07
8,31.0,0.9783630817772966,0.0,2.0941965695333495e-07,2.3825836881972815e-07,2.187879193570487e-07
9,36.0,0.9755738424234816,0.0,3.068832954664322e-07,3.020924074896031e-07,2.3783123732769076e-07
10,40.0,0.9755738424234816,0.0,3.068832954664322e-07,3.020924074896031e-07,2.3783123732769076e-07
11,49.0,0.9721900788899851,0.0,2.831639535784154e-07,4.527588191961356e-07,2.3244118484555333e-07
12,55.0,0.9666293371864586,0.0,3.567090384314108e-07,5.488829014262086e-07,3.215079784295272e-07
13,61.0,0.9602625319892304,0.0,3.424202810805561e-07,6.002515367508472e-07,3.331561046465403e-07
14,70.0,0.9602625319892304,0.0,3.424202810805561e-07,6.002515367508472e-07,3.331561046465403e-07
15,85.0,0.9505254459114608,0.0,4.42709517155633e-07,1.3235661715561791e-06,5.249462166148016e-07
16,100.0,0.9438047931794917,0.0,4.4270951715563205e-07,1.695192235412816e-06,8.037980422894894e-07
17,113.0,0.9400003204928392,0.0,4.501127850885511e-07,2.4750222371290888e-06,1.0337506678767245e-06
18,123.0,0.9297208607063147,0.0,6.39715140658995e-07,2.875254180676508e-06,1.0885147517957888e-06
19,146.0,0.9159497524232496,0.0,6.994121782846353e-07,3.7490932940405566e-06,1.5939115868902731e-06
20,166.0,0.9017317820119313,0.0,7.046352502467068e-07,3.796808752969849e-06,1.7928023657392857e-06
21,185.0,0.8983756517283145,0.0,7.625982052171289e-07,3.936627587401795e-06,1.8194202940263063e-06
22,206.0,0.8944877546186527,0.0,7.520538804403864e-07,4.51824072821702e-06,2.2013754018487184e-06
23,222.0,0.8873363172187406,0.0,8.407062606596555e-07,4.752282159654533e-06,2.0318322651039566e-06
24,258.0,0.8833305351057816,0.0,8.407062606596535e-07,5.132566861648631e-06,2.19645833281252e-06
25,274.0,0.8717825721028274,0.0,1.0686377239029233e-06,6.2813728247360015e-06,2.371037713964698e-06
26,329.0,0.8516889223161636,0.0,1.690668272964845e-06,7.336991853094679e-06,3.058882964390876e-06
27,357.0,0.8257748176307288,0.0,1.942758661833409e-06,7.2475040762247835e-06,3.8832642317534994e-06
28,396.0,0.8012851536586274,0.0,2.619914769831944e-06,8.352290856777928e-06,3.913410605133279e-06
29,428.0,0.7818243407087792,0.0,3.362425655357688e-06,1.2036642871847136e-05,4.595786863698233e-06
30,474.0,0.7604504448619082,0.0,4.671481444080075e-06,1.2258762701676152e-05,4.787073049947316e-06
31,540.0,0.7370623598847686,0.0,4.3697937042512555e-06,1.216605554845428e-05,5.876883866064734e-06
32,587.0,0.7232658688254509,0.0,4.9160011320459485e-06,1.6145927253484108e-05,5.963375536595499e-06
33,661.0,0.7091221523827207,0.0,5.465014730101106e-06,1.593804623036378e-05,6.411802773652116e-06
34,716.0,0.6879502932250894,0.0,5.816070767601552e-06,1.9083117409154766e-05,7.616326235266221e-06
35,759.0,0.6779711683068221,0.0,5.942308585550866e-06,1.9176352060686536e-05,8.116384024771677e-06
36,822.0,0.6732496894041888,0.0,5.805900707298333e-06,1.9607364343059595e-05,8.440435948991427e-06
37,913.0,0.6558064672185518,0.0,6.367754569705276e-06,1.8227571099429293e-05,9.970904252486114e-06
38,965.0,0.6311708286684118,0.0,6.353312149339165e-06,2.080446344719424e-05,1.0853921614881039e-05
39,1058.0,0.5944337074325609,0.0,7.139053842609581e-06,2.3948251101177684e-05,1.2726334574413057e-05
40,1154.0,0.562624101407789,0.0,8.469293554905019e-06,2.262726625849169e-05,1.8743411181307874e-05
41,1311.0,0.5553893252580818,0.0,8.469293554904993e-06,2.262726625849165e-05,1.5421844430081977e-05
42,1361.0,0.5261640644934112,0.0,1.2510320045200676e-05,3.29145430702689e-05,1.3900137828659773e-05
43,1524.0,0.5103814957252792,0.0,1.3509438749129126e-05,3.392791839998297e-05,1.3474242622801402e-05
44,1656.0,0.48391967350974796,0.0,1.3633537538432673e-05,4.417813625065261e-05,1.3974033518033223e-05
45,1810.0,0.46588039627572697,0.0,1.2584415250835084e-05,4.429611117356144e-05,1.9281061391222035e-05
46,2025.0,0.4282556599850026,0.0,1.130404693695389e-05,4.543578966096103e-05,1.8001010613230495e-05
47,2183.0,0.40290496834674305,0.0,9.550118042960589e-06,4.4798807066595554e-05,1.822911089531238e-05
48,2639.0,0.35199190020246596,0.0,8.918557300002387e-06,5.427468138539922e-05,1.7753335624819326e-05
49,3253.0,0.2688107450054387,0.0,1.044431643635174e-05,4.538661459635094e-05,1.605419855237703e-05
