,timesteps,full_model,number_of_lymphnodes_positive_by_he_clinical,tobacco_smoking_history_clinical,gender_MALE_clinical
0,2.0,1.0,0.0,0.0,0.0
1,7.0,1.0,0.0,0.0,0.0
2,8.0,1.0,0.0,0.0,0.0
3,12.0,0.9914020196940501,3.9499396387239266e-08,0.0,1.0025507939687804e-07
4,31.0,0.983128080985632,1.6353659156819697e-07,0.0,1.3134311361324997e-07
5,35.0,0.983128080985632,1.6353659156819697e-07,0.0,1.3134311361324997e-07
6,42.0,0.9737220832185973,4.178879440171263e-07,0.0,2.6462033338999916e-07
7,75.0,0.9639914031378617,6.533837045715241e-07,0.0,6.330272096575155e-07
8,105.0,0.9473116734303515,1.5967135884292234e-06,0.0,1.2663916640060418e-06
9,110.0,0.9386444662161435,1.6297396497732544e-06,0.0,5.52223212219145e-07
10,123.0,0.9117475622884964,2.394951238036579e-06,0.0,9.71661949804022e-07
11,128.0,0.9117475622884964,2.394951238036579e-06,0.0,9.71661949804022e-07
12,145.0,0.8852954341869858,1.9136694395530513e-06,0.0,1.6360686640751565e-06
13,153.0,0.8755007231264055,1.786156089988728e-06,0.0,1.2052519724693145e-06
14,155.0,0.8755007231264055,1.786156089988728e-06,0.0,1.2052519724693145e-06
15,161.0,0.8755007231264055,1.786156089988728e-06,0.0,1.2052519724693145e-06
16,167.0,0.8755007231264055,1.786156089988728e-06,0.0,1.2052519724693145e-06
17,181.0,0.8755007231264055,1.786156089988728e-06,0.0,1.2052519724693145e-06
18,188.0,0.8651046756560777,2.08125336778516e-06,0.0,1.6053791439185483e-06
19,202.0,0.8651046756560777,2.08125336778516e-06,0.0,1.6053791439185483e-06
20,219.0,0.840877165209061,2.5030722468831285e-06,0.0,2.737796301098565e-06
21,228.0,0.829863327029019,2.757688419864807e-06,0.0,1.676489006591384e-06
22,233.0,0.829863327029019,2.757688419864807e-06,0.0,1.676489006591384e-06
23,247.0,0.8048856763181993,2.2346203079110215e-06,0.0,1.8200346927400743e-06
24,250.0,0.79293071312868,2.453935178002383e-06,0.0,2.2397924465421e-06
25,292.0,0.7810233451865605,3.558195848097008e-06,0.0,3.0746393017618785e-06
26,319.0,0.7685721885994867,5.1082819971929995e-06,0.0,4.146986577054162e-06
27,330.0,0.7685721885994867,5.1082819971929995e-06,0.0,4.146986577054162e-06
28,347.0,0.7549068169044163,4.7946857626043655e-06,0.0,5.33036112840753e-06
29,360.0,0.7549068169044163,4.7946857626043655e-06,0.0,5.33036112840753e-06
30,394.0,0.7260265272033416,4.794685762604423e-06,0.0,4.627052163857604e-06
31,397.0,0.7260265272033416,4.794685762604423e-06,0.0,4.627052163857604e-06
32,460.0,0.6823352052115358,5.37498347169869e-06,0.0,9.898472731330747e-06
33,473.0,0.6479551120743013,6.788759832652504e-06,0.0,8.098559723540016e-06
34,481.0,0.6173382921196002,9.096286468626758e-06,0.0,8.590286192091036e-06
35,486.0,0.5863722842996273,5.97371140974664e-06,0.0,8.696027039726904e-06
36,568.0,0.550998639597258,4.800452246186927e-06,0.0,7.027104889114488e-06
37,598.0,0.5340284821872798,4.8004522461868654e-06,0.0,6.560389397618597e-06
38,607.0,0.4989990624312584,4.027733176796334e-06,0.0,7.14474957883328e-06
39,652.0,0.4441529068611238,7.050427205530481e-06,0.0,4.410406799536342e-06
40,671.0,0.4441529068611238,7.050427205530481e-06,0.0,4.410406799536342e-06
41,695.0,0.3882255550074891,6.80416515001073e-06,0.0,3.88588305663191e-06
42,720.0,0.3666307791824929,6.016491372695298e-06,0.0,5.231578585954877e-06
43,844.0,0.34916344265929455,3.965199275644113e-06,0.0,3.88234221656195e-06
44,859.0,0.34916344265929455,3.965199275644113e-06,0.0,3.88234221656195e-06
45,914.0,0.34916344265929455,3.965199275644113e-06,0.0,3.88234221656195e-06
46,951.0,0.34916344265929455,3.965199275644113e-06,0.0,3.88234221656195e-06
47,1130.0,0.28698257400743143,4.44065322791209e-06,0.0,2.974070572639296e-06
48,1502.0,0.25084790135038615,3.992719343773823e-06,0.0,1.2196990612700771e-06
49,2172.0,0.25084790135038615,3.992719343773823e-06,0.0,1.2196990612700771e-06
