,timesteps,full_model,number_of_lymphnodes_positive_by_he_clinical,neoplasm_histologic_grade_G3_clinical,gender_MALE_clinical,stage_event_pathologic_stage_Stage.IIIA_clinical
0,3.0,0.9966796365949842,0.0,7.798285867211189e-08,3.049098280930024e-08,2.805032306899162e-08
1,4.0,0.9966796365949842,0.0,7.798285867211189e-08,3.049098280930024e-08,2.805032306899162e-08
2,6.0,0.9966796365949842,0.0,7.798285867211189e-08,3.049098280930024e-08,2.805032306899162e-08
3,8.0,0.9966796365949842,0.0,7.798285867211189e-08,3.049098280930024e-08,2.805032306899162e-08
4,12.0,0.9966796365949842,0.0,7.798285867211189e-08,3.049098280930024e-08,2.805032306899162e-08
5,13.0,0.9966796365949842,0.0,7.798285867211189e-08,3.049098280930024e-08,2.805032306899162e-08
6,16.0,0.9966796365949842,0.0,7.798285867211189e-08,3.049098280930024e-08,2.805032306899162e-08
7,18.0,0.9966796365949842,0.0,7.798285867211189e-08,3.049098280930024e-08,2.805032306899162e-08
8,21.0,0.9966796365949842,0.0,7.798285867211189e-08,3.049098280930024e-08,2.805032306899162e-08
9,23.0,0.9966796365949842,0.0,7.798285867211189e-08,3.049098280930024e-08,2.805032306899162e-08
10,25.0,0.992306010144102,0.0,1.9424278279675644e-07,1.7170765932000672e-07,3.778217808237501e-08
11,27.0,0.992306010144102,0.0,1.9424278279675644e-07,1.7170765932000672e-07,3.778217808237501e-08
12,30.0,0.9884783681717894,0.0,2.8361423191125126e-07,3.675177916780897e-07,5.7207784435229076e-08
13,31.0,0.9884783681717894,0.0,2.8361423191125126e-07,3.675177916780897e-07,5.7207784435229076e-08
14,35.0,0.9884783681717894,0.0,2.8361423191125126e-07,3.675177916780897e-07,5.7207784435229076e-08
15,38.0,0.9884783681717894,0.0,2.8361423191125126e-07,3.675177916780897e-07,5.7207784435229076e-08
16,45.0,0.9884783681717894,0.0,2.8361423191125126e-07,3.675177916780897e-07,5.7207784435229076e-08
17,52.0,0.9837411093703284,0.0,3.3427276746191086e-07,4.059479576265908e-07,7.925199340259492e-08
18,62.0,0.9734031051807794,0.0,5.50236098284293e-07,5.477610775500833e-07,1.6124094126948912e-07
19,82.0,0.962682222766108,0.0,1.0466526698986348e-06,6.022150341449486e-07,1.0295433268884405e-06
20,92.0,0.962682222766108,0.0,1.0466526698986348e-06,6.022150341449486e-07,1.0295433268884405e-06
21,111.0,0.956863462389768,0.0,1.5143832896320855e-06,7.027504031602387e-07,7.151420687762031e-07
22,126.0,0.9455353328075435,0.0,1.8678975426416922e-06,1.477166536607779e-06,1.0403956025811389e-06
23,137.0,0.9390506120223461,0.0,2.5724194179090825e-06,1.477166536607762e-06,1.0338865619483358e-06
24,156.0,0.9189152908449597,0.0,3.1850434593086006e-06,2.5811282544911194e-06,2.0701949122509804e-06
25,174.0,0.9064775530585324,0.0,3.3555494250090827e-06,2.307982058191127e-06,1.756488753445897e-06
26,198.0,0.9064775530585324,0.0,3.3555494250090827e-06,2.307982058191127e-06,1.756488753445897e-06
27,209.0,0.9003033161356322,0.0,3.870695105229801e-06,2.5039763577932364e-06,4.266170589830745e-06
28,230.0,0.887465398534633,0.0,8.881500206626999e-06,2.880597179896655e-06,4.383909800628468e-06
29,243.0,0.8725951938705735,0.0,1.1384844676504194e-05,4.481986512163187e-06,3.864348074842589e-06
30,255.0,0.8642983404640955,0.0,1.3736842048624704e-05,4.686129279881148e-06,3.652665599266785e-06
31,273.0,0.8563723180494748,0.0,1.5080022679076168e-05,5.169596725599002e-06,3.652665599266733e-06
32,294.0,0.8235628282990421,0.0,2.0630559745461764e-05,8.10711013983124e-06,3.8007348400714735e-06
33,336.0,0.8065199809863818,0.0,2.8473926015168286e-05,7.757259942338925e-06,6.133063286942508e-06
34,356.0,0.7781273906270099,0.0,3.625479831458385e-05,1.0745724021358361e-05,4.891899508945051e-06
35,378.0,0.7584806426213063,1.111111111111192e-07,4.3363246048098425e-05,1.3306439111118402e-05,4.760780446218234e-06
36,422.0,0.7333951767822862,1.1111111111111725e-07,4.385892971025039e-05,1.5285861677236318e-05,5.337411362139496e-06
37,457.0,0.7144606957034234,1.11111111111118e-07,4.9203744054477065e-05,1.6915561973522486e-05,5.528964993258534e-06
38,496.0,0.6899604908759551,4.4444444444442744e-07,4.894323594755863e-05,1.7526606286943804e-05,5.516849706939137e-06
39,542.0,0.667996879423178,1.1111111111112056e-07,5.8890173789428764e-05,1.5228682911129126e-05,1.3186314660344727e-05
40,570.0,0.624921526626262,1.1111111111111492e-07,5.485635872014017e-05,1.9752409058338787e-05,1.3843419880301897e-05
41,640.0,0.6036517623934209,1.111111111111147e-07,4.978561824185172e-05,2.254948449651764e-05,1.070770781861716e-05
42,680.0,0.5587435666749433,1.1111111111112012e-07,4.8401117440314485e-05,3.95875697194014e-05,6.774980333375943e-06
43,787.0,0.5447038353404947,1.1111111111111414e-07,4.6919522522343335e-05,4.026849898648963e-05,4.5861313588423426e-06
44,881.0,0.49536996528620014,1.7777777777777881e-06,4.8796803375155454e-05,5.286676910917634e-05,5.735026293928277e-06
45,1083.0,0.49536996528620014,1.7777777777777881e-06,4.8796803375155454e-05,5.286676910917634e-05,5.735026293928277e-06
46,1346.0,0.48059585750454553,1.777777777777798e-06,6.414559966352305e-05,5.235538080533314e-05,4.705684035416469e-06
47,1645.0,0.45608782251561697,1.777777777777802e-06,6.738463784759625e-05,4.9699684969553706e-05,4.705684035416471e-06
48,1863.0,0.40202175627318437,1.777777777777772e-06,4.715535957078901e-05,4.706857159514096e-05,5.959469603314805e-06
